tissue_sample,seq_depth,trimmed_reads,clean_min_length,post_join_mirec,pre_mirnas,max_length
adrenal_cortex_ECA_UCD_AH3,19742399,18155148,18149993,17780805,15284815,12102009
adrenal_cortex_ECA_UCD_AH4,21288016,18940577,18935451,18539343,15509640,10212552
amygdala_ECA_UCD_AH3,26273881,24374388,24364435,23615177,18995959,9229723
amygdala_ECA_UCD_AH4,20679919,18295369,18289331,17796150,12674032,3033525
bone_marrow_ECA_UCD_AH3,17961437,16028598,16022496,15620826,11454564,5434044
bone_marrow_ECA_UCD_AH4,24392640,20971749,20962678,20310273,17593675,14219287
bone_subchon_11433,5313218,4823867,4822784,4688762,3901894,2101036
bone_subchon_11434,5636736,5381359,5380207,5306052,4434726,2287780
bone_subchon_11435,5418039,5048745,5047671,4941657,4036754,3212061
bone_subchon_11436,6162046,5747614,5746407,5649495,4468060,3898215
bone_subchon_11437,4446144,3582946,3582106,3421800,2561154,1558563
bone_subchon_1_10Y,6051732,5491389,5490061,5399108,4520808,1811608
bone_subchon_2_9Y,3437528,2511547,2511123,2488356,2477844,364193
bone_subchon_3_10Y,6130843,5060459,5058894,4853850,3842670,1502256
bone_subchon_5_15Y,5407098,5067697,5066541,4992958,4130640,3254951
bone_third_mc_ECA_UCD_AH1,37117225,20962556,20951645,16848533,16778728,14129384
bone_third_mc_ECA_UCD_AH2,39295131,21228120,21221449,17122025,17070099,14029567
brain_ECA_UCD_AH3,19289882,17085503,17080147,16681681,12800557,6784870
brain_ECA_UCD_AH4,17724104,16627471,16622115,16184016,13460811,9379452
caput_ECA_UCD_AH3,21089663,18456116,18450998,18048451,16121412,14324622
caput_ECA_UCD_AH4,22985032,20687004,20677380,20342961,18834650,16732755
cartilage_articular_11432,5242887,4476961,4475751,4268967,3496649,2121107
cartilage_articular_11433,7166695,6875252,6873866,6804082,6134219,2418857
cartilage_articular_11434,4942665,4786653,4785531,4740577,4384212,3529534
cartilage_articular_11435,5898962,4849035,4847853,4548636,3734648,2209486
cartilage_articular_11436,6407038,5779892,5778644,5654100,4821733,1847322
cartilage_articular_11437,5104437,4769226,4768258,4679821,3851294,807911
cartilage_articular_11438,6005863,5587616,5586080,5504263,4510298,3604812
cartilage_articular_1_10Y,6016161,4806948,4805683,4568929,3525164,2515897
cartilage_articular_2_9Y,5123742,4719793,4718386,4663944,3850658,3115474
cartilage_articular_3_10Y,7162642,5636257,5634366,5297598,4422827,1442191
cartilage_articular_5_15Y,5955167,4962387,4961009,4810408,4017236,2468252
cartilage_articular_6_5Y,6157683,5635864,5634558,5529317,4686654,3969043
cartilage_articular_ECA_UCD_AH4,22495655,20513567,20507349,19180036,14729067,6040467
cartilage_articular_ECA_UCD_AH4B,22806695,19821679,19815385,18404948,13771766,4912727
cauda_ECA_UCD_AH3,20292029,18806571,18799659,18541038,17174824,15420554
cauda_ECA_UCD_AH4,18096451,17218754,17214212,17032527,15767955,14096785
cecum_1_10Y,5581427,5128911,5128823,5084108,4894965,3925432
cecum_2_9Y,8004921,7875876,7875592,7841631,7683001,6962175
cecum_3_10Y,6200346,5882806,5881221,5826876,5549976,4449562
cecum_ECA_UCD_AH1,32751172,31099498,31098845,30418326,27466794,21629147
cecum_ECA_UCD_AH2,33636458,28190809,28188832,26592791,24121253,17992690
cerebellum_1_10Y,5384841,4979551,4979454,4940242,4725097,4252222
cerebellum_2_9Y,7409996,7100583,7100251,7063718,6717299,6358551
cerebellum_3_10Y,7991920,7609717,7609402,7567817,7034043,6534335
cerebellum_vermis_ECA_UCD_AH3,22895144,21763828,21757487,21276965,16912056,12079205
cerebellum_vermis_ECA_UCD_AH4,22713835,21374599,21367439,20983761,16873708,10101305
conjunctiva_ERR2785555,14097964,12154536,12154026,11437693,10273049,9933838
conjunctiva_ERR2785559,14203053,13108030,13107566,12635949,10399969,9250838
corpus_ECA_UCD_AH3,20320099,19137971,19133097,18882250,17621970,15236350
corpus_ECA_UCD_AH4,15649620,13394540,13391162,13057614,11810793,10191355
ddft_ECA_UCD_AH1,4934803,4571240,4571003,4272092,3207672,1136343
ddft_ECA_UCD_AH2,3292298,3067214,3067080,2876697,2046955,1032268
drg_ECA_UCD_AH3,20743450,17382615,17376568,16868773,13803228,7520258
drg_ECA_UCD_AH4,20654387,19109074,19103963,18451915,14707230,8653222
duodenum_1_10Y,5920530,5647335,5647255,5613154,5485966,5170879
duodenum_2_9Y,7094578,6995184,6994887,6971115,6866879,6678953
duodenum_3_10Y,6660164,6475787,6475580,6442169,6281833,4878866
fat_abdominal_ECA_UCD_AH3,26884470,23989620,23983703,22700248,17949221,8850241
fat_abdominal_ECA_UCD_AH4,19259882,16327357,16322647,15597117,12197959,5783645
fat_loin_ECA_UCD_AH1,12680496,11305117,11303914,11133029,9440469,5431953
fat_loin_ECA_UCD_AH2,26866135,24328561,24326584,23949689,19721986,8869376
fat_nuchal_11432,6544878,6152147,6152033,6085693,5825159,2460095
fat_nuchal_11433,6617452,6118744,6117217,6031455,4874561,2512904
fat_nuchal_11434,6560490,6402572,6401304,6351052,6078095,3357970
fat_nuchal_11435,4847907,4282367,4281330,4146176,3472486,2519881
fat_nuchal_11436,4996319,4834199,4833191,4792439,3940568,3389977
fat_nuchal_11437,5812797,5465034,5463896,5415270,4914123,2269292
fat_nuchal_11438,9205369,8931207,8929349,8861447,8393034,2153679
fat_nuchal_1_10Y,5047380,4716430,4715172,4637210,4049727,3680887
fat_nuchal_2_9Y,6418055,6241000,6239254,6186449,5747254,3483315
fat_nuchal_3_10Y,4904464,4741094,4739805,4707447,3942863,3101801
fat_nuchal_5_15Y,6506839,6286534,6286298,6240708,5879926,2974538
fat_nuchal_6_5Y,6570042,6343760,6343495,6300479,5855309,4280466
fat_omental_1_10Y,5967686,4622182,4620842,4470396,3622528,2893721
fat_omental_2_9Y,4906979,4720355,4719273,4681631,4408135,3745242
fat_omental_3_10Y,6108871,5141665,5140456,4855395,4838379,1440430
fat_omental_5_15Y,6584800,6346528,6346293,6294858,5968294,3665536
fat_omental_6_5Y,7101462,6818930,6818691,6754993,6344244,4086370
fat_retroper_11432,8907719,8694911,8693208,8643872,8300838,2149921
fat_retroper_11433,8096370,7732974,7731379,7657286,7177775,2689249
fat_retroper_11434,7060846,6786413,6784909,6744612,6377418,2671960
fat_retroper_11435,8973376,8272972,8271216,8148747,7075191,3670388
fat_retroper_11436,7051288,6650895,6650793,6620455,6083344,2449477
fat_retroper_11437,5997208,5522365,5522270,5484040,5144311,3347110
fat_retroper_11438,7004272,62,56,56,56,1
fat_retroper_1_10Y,5729778,5583915,5582459,5537907,5072950,3888104
fat_retroper_2_9Y,5915716,5753090,5751365,5715033,5505275,4294626
fat_retroper_3_10Y,6068785,5893471,5892107,5839755,5298364,4025060
