tissue_sample	system	tissue	abvs	sample	batch	breed	sex	post_counts
adrenal_cortex_ECA_UCD_AH3	Endocrine	adrenal_cortex	ADC	ECA_UCD_AH3	FAANG	thoroughbred	stallion	12102009
adrenal_cortex_ECA_UCD_AH4	Endocrine	adrenal_cortex	ADC	ECA_UCD_AH4	FAANG	thoroughbred	stallion	10212552
amygdala_ECA_UCD_AH3	Nervous	amygdala	AMY	ECA_UCD_AH3	FAANG	thoroughbred	stallion	9229723
amygdala_ECA_UCD_AH4	Nervous	amygdala	AMY	ECA_UCD_AH4	FAANG	thoroughbred	stallion	3033525
bone_marrow_ECA_UCD_AH3	Musculoskeletal	bone_marrow	BNM	ECA_UCD_AH3	FAANG	thoroughbred	stallion	5434044
bone_marrow_ECA_UCD_AH4	Musculoskeletal	bone_marrow	BNM	ECA_UCD_AH4	FAANG	thoroughbred	stallion	14219287
bone_subchon_11433	Musculoskeletal	bone_subchon	BNS	11433	primary_2022	quarter_horse	mare	2101036
bone_subchon_11434	Musculoskeletal	bone_subchon	BNS	11434	primary_2022	quarter_horse	mare	2287780
bone_subchon_11435	Musculoskeletal	bone_subchon	BNS	11435	primary_2022	quarter_horse	mare	3212061
bone_subchon_11436	Musculoskeletal	bone_subchon	BNS	11436	primary_2022	quarter_horse	mare	3898215
bone_subchon_11437	Musculoskeletal	bone_subchon	BNS	11437	primary_2022	quarter_horse	mare	1558563
bone_subchon_1_10Y	Musculoskeletal	bone_subchon	BNS	1_10Y	primary_2013	paint	gelding	1811608
bone_subchon_3_10Y	Musculoskeletal	bone_subchon	BNS	3_10Y	primary_2013	quarter_horse	stallion	1502256
bone_subchon_5_15Y	Musculoskeletal	bone_subchon	BNS	5_15Y	primary_2013	quarter_horse	mare	3254951
brain_ECA_UCD_AH3	Nervous	brain	BRN	ECA_UCD_AH3	FAANG	thoroughbred	stallion	6784870
brain_ECA_UCD_AH4	Nervous	brain	BRN	ECA_UCD_AH4	FAANG	thoroughbred	stallion	9379452
caput_ECA_UCD_AH3	Urogenital	caput	CAP	ECA_UCD_AH3	FAANG	thoroughbred	stallion	14324622
caput_ECA_UCD_AH4	Urogenital	caput	CAP	ECA_UCD_AH4	FAANG	thoroughbred	stallion	16732755
cartilage_articular_11432	Musculoskeletal	cartilage_articular	CARA	11432	primary_2022	quarter_horse	mare	2121107
